I0,success_rate,correct,total
"(0, 3)",0.0,0,27
"(3, 6)",0.0,0,22
"(2, 4)",0.0,0,18
"(5, 8)",0.0,0,22
"(4, 8)",0.0,0,22
"(0, 5)",0.0,0,21
"(2, 9)",0.0,0,27
"(3, 7)",0.0,0,23
"(2, 7)",0.0,0,23
"(0, 2)",0.0,0,21
"(0, 6)",0.0,0,23
"(5, 9)",0.0,0,24
"(6, 7)",0.0,0,17
"(0, 7)",0.0,0,26
"(1, 7)",0.0,0,27
"(6, 8)",0.0,0,15
"(0, 4)",0.0,0,27
"(1, 4)",0.0,0,20
"(7, 9)",0.0,0,24
"(1, 8)",0.0,0,18
"(6, 9)",0.0,0,18
"(1, 9)",0.0,0,24
"(1, 5)",0.0,0,22
"(2, 5)",0.0,0,27
"(4, 9)",0.0,0,14
"(1, 2)",0.0,0,24
"(2, 3)",0.0,0,25
"(5, 7)",0.0,0,26
"(4, 5)",0.0,0,20
"(3, 9)",0.0,0,26
"(3, 4)",0.0,0,19
"(5, 6)",0.0,0,27
"(4, 6)",0.0,0,26
"(2, 8)",0.0,0,15
"(3, 5)",0.0,0,24
"(4, 7)",0.0,0,20
"(1, 3)",0.0,0,26
"(2, 6)",0.0,0,26
"(1, 6)",0.0,0,27
"(3, 8)",0.0,0,23
"(8, 9)",0.0,0,17
"(0, 9)",0.0,0,24
"(0, 1)",0.0,0,19
"(7, 8)",0.0,0,18
"(0, 8)",0.0,0,16
